x,y,height,momentum_x,bathymetry
0.5,0.5,18.59594,-0.003699045,0
1.5,0.5,18.59594,-0.003730316,0
2.5,0.5,18.59594,-0.003788539,0
3.5,0.5,18.59595,-0.003850495,0
4.5,0.5,18.59595,-0.003914426,0
5.5,0.5,18.59596,-0.003983772,0
6.5,0.5,18.59596,-0.004059563,0
7.5,0.5,18.59597,-0.004130111,0
8.5,0.5,18.59597,-0.004208563,0
9.5,0.5,18.59598,-0.004281011,0
10.5,0.5,18.59598,-0.004325186,0
11.5,0.5,18.59599,-0.004339598,0
12.5,0.5,18.59599,-0.004352381,0
13.5,0.5,18.59599,-0.004368071,0
14.5,0.5,18.59599,-0.004388051,0
15.5,0.5,18.59599,-0.004400007,0
16.5,0.5,18.59599,-0.00437571,0
17.5,0.5,18.59598,-0.004329334,0
18.5,0.5,18.59598,-0.004240968,0
19.5,0.5,18.59597,-0.004099356,0
20.5,0.5,18.59596,-0.003925471,0
21.5,0.5,18.59594,-0.003732213,0
22.5,0.5,18.59593,-0.003511799,0
23.5,0.5,18.59591,-0.003277725,0
24.5,0.5,18.59589,-0.003043646,0
25.5,0.5,18.59587,-0.002804668,0
26.5,0.5,18.59585,-0.002562901,0
27.5,0.5,18.59583,-0.002318791,0
28.5,0.5,18.59581,-0.002074506,0
29.5,0.5,18.59579,-0.001840066,0
30.5,0.5,18.59578,-0.001617914,0
31.5,0.5,18.59576,-0.001393153,0
32.5,0.5,18.59575,-0.001178081,0
33.5,0.5,18.59573,-0.0009873074,0
34.5,0.5,18.59572,-0.0008202043,0
35.5,0.5,18.59571,-0.0006735834,0
36.5,0.5,18.59571,-0.0005529178,0
37.5,0.5,18.5957,-0.0004555552,0
38.5,0.5,18.5957,-0.000368144,0
39.5,0.5,18.5957,-0.0002883632,0
40.5,0.5,18.59569,-0.000224688,0
41.5,0.5,18.59569,-0.0001843995,0
42.5,0.5,18.59569,-0.0001569116,0
43.5,0.5,18.59569,-0.0001163923,0
44.5,0.5,18.59569,-6.967696E-05,0
45.5,0.5,18.59569,-2.84109E-05,0
46.5,0.5,18.59569,1.520377E-05,0
47.5,0.5,18.59569,6.778188E-05,0
48.5,0.5,18.59569,0.0001177578,0
49.5,0.5,18.59569,0.0001565289,0
50.5,0.5,18.59569,0.0002049504,0
51.5,0.5,18.59569,0.0002553373,0
52.5,0.5,18.59569,0.0002974239,0
53.5,0.5,18.59569,0.0003389805,0
54.5,0.5,18.59569,0.0003795321,0
55.5,0.5,18.59569,0.0004188194,0
56.5,0.5,18.59569,0.0004574607,0
57.5,0.5,18.59569,0.0004965914,0
58.5,0.5,18.59569,0.0005339579,0
59.5,0.5,18.59569,0.0005828905,0
60.5,0.5,18.5957,0.0006567311,0
61.5,0.5,18.5957,0.0007453028,0
62.5,0.5,18.59571,0.0008434465,0
63.5,0.5,18.59571,0.0009642694,0
64.5,0.5,18.59572,0.001099878,0
65.5,0.5,18.59573,0.001245451,0
66.5,0.5,18.59574,0.001411849,0
67.5,0.5,18.59575,0.001603088,0
68.5,0.5,18.59576,0.001825594,0
69.5,0.5,18.59578,0.002077568,0
70.5,0.5,18.59579,0.00232844,0
71.5,0.5,18.59581,0.002586982,0
72.5,0.5,18.59583,0.002842325,0
73.5,0.5,18.59585,0.003078484,0
74.5,0.5,18.59587,0.003317548,0
75.5,0.5,18.59589,0.003556469,0
76.5,0.5,18.59591,0.003802132,0
77.5,0.5,18.59592,0.004031062,0
78.5,0.5,18.59594,0.004237942,0
79.5,0.5,18.59595,0.004453366,0
80.5,0.5,18.59596,0.004651559,0
81.5,0.5,18.59597,0.004789852,0
82.5,0.5,18.59598,0.004895715,0
83.5,0.5,18.59598,0.004989409,0
84.5,0.5,18.59599,0.005055167,0
85.5,0.5,18.59599,0.005091182,0
86.5,0.5,18.59599,0.005104165,0
87.5,0.5,18.59598,0.005101182,0
88.5,0.5,18.59598,0.005083015,0
89.5,0.5,18.59598,0.005052378,0
90.5,0.5,18.59598,0.00501422,0
91.5,0.5,18.59597,0.00496716,0
92.5,0.5,18.59597,0.004908122,0
93.5,0.5,18.59596,0.004846506,0
94.5,0.5,18.59595,0.004784696,0
95.5,0.5,18.59595,0.004721712,0
96.5,0.5,18.59594,0.004656734,0
97.5,0.5,18.59594,0.004589678,0
98.5,0.5,18.59593,0.004522703,0
99.5,0.5,18.59593,0.004449456,0
