x,y,height,momentum_x,bathymetry
0.5,0.5,22.11111,223.8198,0
1.5,0.5,22.10898,223.8296,0
2.5,0.5,22.09096,223.9124,0
3.5,0.5,22.07638,223.9791,0
4.5,0.5,22.06494,224.0313,0
5.5,0.5,22.0563,224.0707,0
6.5,0.5,22.05008,224.099,0
7.5,0.5,22.04587,224.1181,0
8.5,0.5,22.04325,224.13,0
9.5,0.5,22.04185,224.1364,0
10.5,0.5,22.04133,224.1388,0
11.5,0.5,22.04141,224.1385,0
12.5,0.5,22.04184,224.1366,0
13.5,0.5,22.04247,224.1338,0
14.5,0.5,22.04318,224.1307,0
15.5,0.5,22.04388,224.1275,0
16.5,0.5,22.04454,224.1246,0
17.5,0.5,22.04511,224.122,0
18.5,0.5,22.04561,224.1199,0
19.5,0.5,22.04602,224.118,0
20.5,0.5,22.04636,224.1166,0
21.5,0.5,22.04663,224.1154,0
22.5,0.5,22.04684,224.1145,0
23.5,0.5,22.04701,224.1139,0
24.5,0.5,22.04712,224.1134,0
25.5,0.5,22.04721,224.1132,0
26.5,0.5,22.04726,224.113,0
27.5,0.5,22.04729,224.1131,0
28.5,0.5,22.04729,224.1132,0
29.5,0.5,22.04726,224.1134,0
30.5,0.5,22.0472,224.1138,0
31.5,0.5,22.0471,224.1143,0
32.5,0.5,22.04696,224.1151,0
33.5,0.5,22.04676,224.1161,0
34.5,0.5,22.04647,224.1175,0
35.5,0.5,22.04607,224.1195,0
36.5,0.5,22.04553,224.1221,0
37.5,0.5,22.0448,224.1256,0
38.5,0.5,22.04381,224.1302,0
39.5,0.5,22.04252,224.1362,0
40.5,0.5,22.04085,224.144,0
41.5,0.5,22.03872,224.1538,0
42.5,0.5,22.03606,224.166,0
43.5,0.5,22.0328,224.181,0
44.5,0.5,22.02886,224.199,0
45.5,0.5,22.0242,224.2203,0
46.5,0.5,22.01878,224.2449,0
47.5,0.5,22.01261,224.2729,0
48.5,0.5,22.00571,224.3042,0
49.5,0.5,21.99814,224.3384,0
50.5,0.5,21.99,224.3752,0
51.5,0.5,21.98141,224.4139,0
52.5,0.5,21.97252,224.4538,0
53.5,0.5,21.9635,224.4943,0
54.5,0.5,21.95455,224.5344,0
55.5,0.5,21.94584,224.5734,0
56.5,0.5,21.93755,224.6104,0
57.5,0.5,21.92982,224.6449,0
58.5,0.5,21.92279,224.6762,0
59.5,0.5,21.91655,224.704,0
60.5,0.5,21.91114,224.7282,0
61.5,0.5,21.90656,224.7486,0
62.5,0.5,21.9028,224.7655,0
63.5,0.5,21.89979,224.779,0
64.5,0.5,21.89746,224.7896,0
65.5,0.5,21.8957,224.7977,0
66.5,0.5,21.89442,224.8037,0
67.5,0.5,21.89351,224.808,0
68.5,0.5,21.89289,224.8111,0
69.5,0.5,21.89249,224.8133,0
70.5,0.5,21.89224,224.8148,0
71.5,0.5,21.89209,224.8158,0
72.5,0.5,21.89201,224.8166,0
73.5,0.5,21.89197,224.8172,0
74.5,0.5,21.89196,224.8176,0
75.5,0.5,21.89197,224.818,0
76.5,0.5,21.89197,224.8184,0
77.5,0.5,21.89198,224.8188,0
78.5,0.5,21.89199,224.8192,0
79.5,0.5,21.892,224.8196,0
80.5,0.5,21.89202,224.8201,0
81.5,0.5,21.89203,224.8205,0
82.5,0.5,21.89203,224.8209,0
83.5,0.5,21.89205,224.8214,0
84.5,0.5,21.89206,224.8218,0
85.5,0.5,21.89207,224.8223,0
86.5,0.5,21.89208,224.8228,0
87.5,0.5,21.8921,224.8233,0
88.5,0.5,21.89211,224.8237,0
89.5,0.5,21.89213,224.8242,0
90.5,0.5,21.89215,224.8248,0
91.5,0.5,21.89216,224.8252,0
92.5,0.5,21.89218,224.8258,0
93.5,0.5,21.8922,224.8263,0
94.5,0.5,21.89221,224.8268,0
95.5,0.5,21.89223,224.8273,0
96.5,0.5,21.89225,224.8279,0
97.5,0.5,21.89227,224.8285,0
98.5,0.5,21.89229,224.8291,0
99.5,0.5,21.89231,224.8296,0
